sub_xml_id,product_xml_id,qty,unit_price
sub_01,prod_chem_14,2,48.0
sub_01,prod_chem_13,7,160.0
sub_02,prod_chem_14,8,48.0
sub_02,prod_chem_10,3,38.0
sub_03,prod_chem_24,7,85.0
sub_03,prod_chem_18,2,95.0
sub_04,prod_chem_12,6,55.0
sub_04,prod_chem_03,5,95.0
sub_04,prod_chem_17,7,130.0
sub_04,prod_chem_03,9,95.0
sub_05,prod_chem_12,9,55.0
sub_05,prod_chem_07,6,120.0
sub_05,prod_chem_14,7,48.0
sub_06,prod_chem_01,5,185.0
sub_06,prod_chem_21,6,110.0
sub_06,prod_chem_04,7,140.0
sub_07,prod_chem_25,8,240.0
sub_07,prod_chem_03,8,95.0
sub_08,prod_chem_05,3,78.0
sub_08,prod_chem_13,4,160.0
sub_09,prod_chem_14,3,48.0
sub_09,prod_chem_13,7,160.0
sub_10,prod_chem_06,8,68.0
sub_10,prod_chem_23,10,95.0
sub_10,prod_chem_23,4,95.0
sub_11,prod_chem_04,9,140.0
sub_11,prod_chem_15,3,210.0
sub_11,prod_chem_05,6,78.0
sub_11,prod_chem_15,5,210.0
sub_12,prod_chem_15,7,210.0
sub_12,prod_chem_25,4,240.0
sub_12,prod_chem_23,8,95.0
sub_13,prod_chem_16,8,175.0
sub_13,prod_chem_12,8,55.0
sub_13,prod_chem_22,3,180.0
sub_13,prod_chem_01,5,185.0
sub_14,prod_chem_12,3,55.0
sub_14,prod_chem_04,2,140.0
sub_14,prod_chem_02,9,165.0
sub_15,prod_chem_05,3,78.0
sub_15,prod_chem_25,8,240.0
sub_16,prod_chem_15,6,210.0
sub_16,prod_chem_02,4,165.0
sub_16,prod_chem_05,8,78.0
sub_16,prod_chem_09,8,42.0
